"Mineral Name","IMA Chemistry (plain)","IMA Chemistry (concise)"
"Rambergite","MnS","MnS"
"Ramdohrite","Pb5.9Fe0.1Mn0.1In0.1Cd0.2Ag2.8Sb10.8S24","Pb_5.9_Fe_0.1_Mn_0.1_In_0.1_Cd_0.2_Ag_2.8_Sb_10.8_S_24_"
"Rameauite","K2Ca(UO2)6O6(OH)4·6H2O","K_2_Ca(UO_2_)_6_O_6_(OH)_4_·6H_2_O"
"Ramikite-(Y)","Li4(Na,Ca)12(Y,Ca,REE)6Zr6(PO4)12(CO3)4O4[(OH),F]4","Li_4_(Na,Ca)_12_(Y,Ca,REE)_6_Zr_6_(PO_4_)_12_(CO_3_)_4_O_4_[(OH),F]_4_"
"Rammelsbergite","NiAs2","NiAs_2_"
"Ramosite","Pb25.7Sn8.3Mn3.4Sb6.4S56.2","Pb_25.7_Sn_8.3_Mn_3.4_Sb_6.4_S_56.2_"
"Ramsbeckite","Cu15(SO4)4(OH)22·6H2O","Cu_15_(SO_4_)_4_(OH)_22_·6H_2_O"
"Ramsdellite","MnO2","MnO_2_"
"Ranciéite","(Ca,Mn2+)0.2(Mn4+,Mn3+)O2·0.6H2O","(Ca,Mn^2+^)_0.2_(Mn^4+^,Mn^3+^)O_2_·0.6H_2_O"
"Rankachite","Ca0.5(V4+,V5+)(W6+,Fe3+)2O8(OH)·2H2O","Ca_0.5_(V^4+^,V^5+^)(W^6+^,Fe^3+^)_2_O_8_(OH)·2H_2_O"
"Rankamaite","(Na,K)3(Ta,Nb,Al)11(O,OH)31","(Na,K)_3_(Ta,Nb,Al)_11_(O,OH)_31_"
"Rankinite","Ca3Si2O7","Ca_3_Si_2_O_7_"
"Ransomite","CuFe3+2(SO4)4·6H2O","CuFe^3+^_2_(SO_4_)_4_·6H_2_O"
"Ranunculite","Al(UO2)(PO3OH)(OH)3·4H2O","Al(UO_2_)(PO_3_OH)(OH)_3_·4H_2_O"
"Rapidcreekite","Ca2(SO4)(CO3)·4H2O","Ca_2_(SO_4_)(CO_3_)·4H_2_O"
"Rappoldite","PbCo2(AsO4)2·2H2O","PbCo_2_(AsO_4_)_2_·2H_2_O"
"Raslakite","Na15Ca3Fe3(Na,Zr)3Zr3(Si,Nb)Si25O73(OH,H2O)3(Cl,OH)","Na_15_Ca_3_Fe_3_(Na,Zr)_3_Zr_3_(Si,Nb)Si_25_O_73_(OH,H_2_O)_3_(Cl,OH)"
"Raspite","Pb(WO4)","Pb(WO_4_)"
"Rastsvetaevite","Na27K8Ca12Fe3Zr6Si52O144(OH,O)6Cl2","Na_27_K_8_Ca_12_Fe_3_Zr_6_Si_52_O_144_(OH,O)_6_Cl_2_"
"Rasvumite","KFe2S3","KFe_2_S_3_"
"Rathite","Ag2Pb12-xTlx/2As18+x/2S40","Ag_2_Pb_12-x_Tl_x/2_As_18+x/2_S_40_"
"Rathite-IV","Pb3As5S10","Pb_3_As_5_S_10_"
"Rauchite","Ni(UO2)2(AsO4)2·10H2O","Ni(UO_2_)_2_(AsO_4_)_2_·10H_2_O"
"Rauenthalite","Ca3(AsO4)2·10H2O","Ca_3_(AsO_4_)_2_·10H_2_O"
"Rauvite","Ca(UO2)2V10O28·16H2O","Ca(UO_2_)_2_V_10_O_28_·16H_2_O"
"Ravatite","C14H10","C_14_H_10_"
"Raydemarkite","MoO3·H2O","MoO_3_·H_2_O"
"Raygrantite","Pb10Zn(SO4)6(SiO4)2(OH)2","Pb_10_Zn(SO_4_)_6_(SiO_4_)_2_(OH)_2_"
"Rayite","(Ag,Tl)2Pb8Sb8S21","(Ag,Tl)_2_Pb_8_Sb_8_S_21_"
"Realgar","AsS","AsS"
"Reaphookhillite","MgZn2(PO4)2·4H2O","MgZn_2_(PO_4_)_2_·4H_2_O"
"Rebulite","Tl5Sb5As8S22","Tl_5_Sb_5_As_8_S_22_"
"Rectorite","(Na,Ca)Al4(Si,Al)8O20(OH)4·2H2O","(Na,Ca)Al_4_(Si,Al)_8_O_20_(OH)_4_·2H_2_O"
"Redcanyonite","(NH4)2Mn[(UO2)4O4(SO4)2](H2O)4","(NH_4_)_2_Mn[(UO_2_)_4_O_4_(SO_4_)_2_](H_2_O)_4_"
"Reddingite","Mn2+3(PO4)2·3H2O","Mn^2+^_3_(PO_4_)_2_·3H_2_O"
"Redgillite","Cu6(SO4)(OH)10·H2O","Cu_6_(SO_4_)(OH)_10_·H_2_O"
"Redingtonite","Fe2+Cr2(SO4)4·22H2O","Fe^2+^Cr_2_(SO_4_)_4_·22H_2_O"
"Redledgeite","Ba(Ti6Cr3+2)O16","Ba(Ti_6_Cr^3+^_2_)O_16_"
"Redmondite","[Pb8O2Zn(OH)6](S2O3)4","[Pb_8_O_2_Zn(OH)_6_](S_2_O_3_)_4_"
"Redondite","Al(PO4)·2H2O","Al(PO_4_)·2H_2_O"
"Reederite-(Y)","(Na,Mn)15Y2(CO3)9(SO3F)Cl","(Na,Mn)_15_Y_2_(CO_3_)_9_(SO_3_F)Cl"
"Reedmergnerite","NaBSi3O8","NaBSi_3_O_8_"
"Reevesite","Ni6Fe3+2(CO3)(OH)16·4H2O","Ni_6_Fe^3+^_2_(CO_3_)(OH)_16_·4H_2_O"
"Refikite","C20H34O2","C_20_H_34_O_2_"
"Regerite","KFe6(PO4)4(OH)7(H2O)6·4H2O","KFe_6_(PO_4_)_4_(OH)_7_(H_2_O)_6_·4H_2_O"
"Reichenbachite","Cu5(PO4)2(OH)4","Cu_5_(PO_4_)_2_(OH)_4_"
"Reidite","Zr(SiO4)","Zr(SiO_4_)"
"Reinerite","Zn3(AsO3)2","Zn_3_(AsO_3_)_2_"
"Reinhardbraunsite","Ca5(SiO4)2(OH)2","Ca_5_(SiO_4_)_2_(OH)_2_"
"Relianceite-(K)","K4Mg(V4+O)2(C2O4)(PO3OH)4(H2O)10","K_4_Mg(V^4+^O)_2_(C_2_O_4_)(PO_3_OH)_4_(H_2_O)_10_"
"Rémondite-(Ce)","Na3(Ce,Ca,Na)3(CO3)5","Na_3_(Ce,Ca,Na)_3_(CO_3_)_5_"
"Rémondite-(La)","Na3(La,Ca,Na)3(CO3)5","Na_3_(La,Ca,Na)_3_(CO_3_)_5_"
"Renardite","Pb(UO2)4(PO4)2(OH)4·7H2O","Pb(UO_2_)_4_(PO_4_)_2_(OH)_4_·7H_2_O"
"Rengeite","Sr4Ti4ZrO8(Si2O7)2","Sr_4_Ti_4_ZrO_8_(Si_2_O_7_)_2_"
"Renierite","(Cu1+,Zn)11Fe4(Ge4+,As5+)2S16","(Cu^1+^,Zn)_11_Fe_4_(Ge^4+^,As^5+^)_2_S_16_"
"Reppiaite","Mn2+5(VO4)2(OH)4","Mn^2+^_5_(VO_4_)_2_(OH)_4_"
"Retgersite","Ni(SO4)·6H2O","Ni(SO_4_)·6H_2_O"
"Retzian-(Ce)","Mn2+2Ce(AsO4)(OH)4","Mn^2+^_2_Ce(AsO_4_)(OH)_4_"
"Retzian-(La)","Mn2+2La(AsO4)(OH)4","Mn^2+^_2_La(AsO_4_)(OH)_4_"
"Retzian-(Nd)","Mn2+2Nd(AsO4)(OH)4","Mn^2+^_2_Nd(AsO_4_)(OH)_4_"
"Revdite","Na16Si16O27(OH)26·28H2O","Na_16_Si_16_O_27_(OH)_26_·28H_2_O"
"Rewitzerite","[K(H2O)]Mn2Al3(PO4)4(OH)2·14H2O","[K(H_2_O)]Mn_2_Al_3_(PO_4_)_4_(OH)_2_·14H_2_O"
"Reyerite","Na2Ca14Al2Si22O58(OH)8·6H2O","Na_2_Ca_14_Al_2_Si_22_O_58_(OH)_8_·6H_2_O"
"Reynoldsite","Pb2Mn4+2O5(CrO4)","Pb_2_Mn^4+^_2_O_5_(CrO_4_)"
"Reznitskyite","CaMg(VO4)F","CaMg(VO_4_)F"
"Rhabdoborite-(Mo)","Mg12Mo6+1.33O6(BO3)6F2","Mg_12_Mo^6+^_1.33_O_6_(BO_3_)_6_F_2_"
"Rhabdoborite-(V)","Mg12(V5+,Mo6+,W6+)1.5O6{[BO3]6-x[(P,As)O4]xF2-x} (x < 1)","Mg_12_(V^5+^,Mo^6+^,W^6+^)_1.5_O_6_{[BO_3_]_6-x_[(P,As)O_4_]_x_F_2-x_} (x < 1)"
"Rhabdoborite-(W)","Mg12(W6+,V5+)1.5O6{[BO3]6-x[(P,As)O4]xF2-x} (x < 1)","Mg_12_(W^6+^,V^5+^)_1.5_O_6_{[BO_3_]_6-x_[(P,As)O_4_]_x_F_2-x_} (x < 1)"
"Rhabdophane-(Ce)","Ce(PO4)·H2O","Ce(PO_4_)·H_2_O"
"Rhabdophane-(La)","La(PO4)·H2O","La(PO_4_)·H_2_O"
"Rhabdophane-(Nd)","Nd(PO4)·H2O","Nd(PO_4_)·H_2_O"
"Rhabdophane-(Y)","Y(PO4)·H2O","Y(PO_4_)·H_2_O"
"Rheniite","ReS2","ReS_2_"
"Rhodarsenide","Rh2As","Rh_2_As"
"Rhodesite","KHCa2Si8O19·5H2O","KHCa_2_Si_8_O_19_·5H_2_O"
"Rhodium","Rh","Rh"
"Rhodizite","KBe4Al4(B11Be)O28","KBe_4_Al_4_(B_11_Be)O_28_"
"Rhodochrosite","Mn(CO3)","Mn(CO_3_)"
"Rhodonite","CaMn3Mn(Si5O15)","CaMn_3_Mn(Si_5_O_15_)"
"Rhodostannite","Cu1+(Fe2+0.5Sn4+1.5)S4","Cu^1+^(Fe^2+^_0.5_Sn^4+^_1.5_)S_4_"
"Rhodplumsite","Rh3Pb2S2","Rh_3_Pb_2_S_2_"
"Rhomboclase","(H5O2)Fe3+(SO4)2·2H2O","(H_5_O_2_)Fe^3+^(SO_4_)_2_·2H_2_O"
"Rhönite","Ca4[Mg8Fe3+2Ti2]O4[Si6Al6O36]","Ca_4_[Mg_8_Fe^3+^_2_Ti_2_]O_4_[Si_6_Al_6_O_36_]"
"Ribbeite","Mn2+5(SiO4)2(OH)2","Mn^2+^_5_(SiO_4_)_2_(OH)_2_"
"Richardsite","Zn2CuGaS4","Zn_2_CuGaS_4_"
"Richardsollyite","TlPbAsS3","TlPbAsS_3_"
"Richellite","CaFe3+2(PO4)2(OH,F)2","CaFe^3+^_2_(PO_4_)_2_(OH,F)_2_"
"Richelsdorfite","Ca2Cu5Sb5+(AsO4)4(OH)6Cl·6H2O","Ca_2_Cu_5_Sb^5+^(AsO_4_)_4_(OH)_6_Cl·6H_2_O"
"Richetite","(Fe3+,Mg)xPb2+8.6(UO2)36O36(OH)24·41H2O","(Fe^3+^,Mg)_x_Pb^2+^_8.6_(UO_2_)_36_O_36_(OH)_24_·41H_2_O"
"Richterite","Na(NaCa)Mg5Si8O22(OH)2","Na(NaCa)Mg_5_Si_8_O_22_(OH)_2_"
"Rickardite","Cu3-xTe2","Cu_3-x_Te_2_"
"Rickturnerite","Pb7O4[Mg(OH)4](OH)Cl3","Pb_7_O_4_[Mg(OH)_4_](OH)Cl_3_"
"Riebeckite","[box]Na2(Fe2+3Fe3+2)Si8O22(OH)2","[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_"
"Riesite","TiO2","TiO_2_"
"Rietveldite","Fe(UO2)(SO4)2(H2O)5","Fe(UO_2_)(SO_4_)_2_(H_2_O)_5_"
"Rilandite","Cr6SiO11·5H2O (?)","Cr_6_SiO_11_·5H_2_O (?)"
"Rimkorolgite","BaMg5(PO4)4·8H2O","BaMg_5_(PO_4_)_4_·8H_2_O"
"Ringwoodite","SiMg2O4","SiMg_2_O_4_"
"Rinkite-(Ce)","(Ca3REE)Na(NaCa)Ti(Si2O7)2(OF)F2","(Ca_3_REE)Na(NaCa)Ti(Si_2_O_7_)_2_(OF)F_2_"
"Rinkite-(Y)","Na2Ca4YTi(Si2O7)2OF3","Na_2_Ca_4_YTi(Si_2_O_7_)_2_OF_3_"
"Rinmanite","Mg2Fe4Zn2Sb2O14(OH)2","Mg_2_Fe_4_Zn_2_Sb_2_O_14_(OH)_2_"
"Rinneite","K3NaFe2+Cl6","K_3_NaFe^2+^Cl_6_"
"Riomarinaite","Bi(SO4)(OH)·H2O","Bi(SO_4_)(OH)·H_2_O"
"Ríosecoite","Ca2Mg(AsO3OH)3(H2O)2","Ca_2_Mg(AsO_3_OH)_3_(H_2_O)_2_"
"Riotintoite","Al(SO4)(OH)·3H2O","Al(SO_4_)(OH)·3H_2_O"
"Rippite","K2(Nb,Ti)2(Si4O12)O(O,F)","K_2_(Nb,Ti)_2_(Si_4_O_12_)O(O,F)"
"Rittmannite","(Mn2+,Ca)Mn2+(Fe2+,Mn2+,Mg)2(Al,Fe3+)2(PO4)4(OH)2·8H2O","(Mn^2+^,Ca)Mn^2+^(Fe^2+^,Mn^2+^,Mg)_2_(Al,Fe^3+^)_2_(PO_4_)_4_(OH)_2_·8H_2_O"
"Rivadavite","Na6Mg[B6O7(OH)6]4·10H2O","Na_6_Mg[B_6_O_7_(OH)_6_]_4_·10H_2_O"
"Riversideite","Ca5Si6O16(OH)2·2H2O","Ca_5_Si_6_O_16_(OH)_2_·2H_2_O"
"Roaldite","(Fe,Ni)4N","(Fe,Ni)_4_N"
"Robertsite","Ca2Mn3+3O2(PO4)3·3H2O","Ca_2_Mn^3+^_3_O_2_(PO_4_)_3_·3H_2_O"
"Robinsonite","Pb4Sb6S13","Pb_4_Sb_6_S_13_"
"Rockbridgeite","(Fe2+0.5Fe3+0.5)2Fe3+3(PO4)3(OH)5","(Fe^2+^_0.5_Fe^3+^_0.5_)_2_Fe^3+^_3_(PO_4_)_3_(OH)_5_"
"Rodalquilarite","H3Fe3+2(Te4+O3)4Cl","H_3_Fe^3+^_2_(Te^4+^O_3_)_4_Cl"
"Rodolicoite","Fe3+(PO4)","Fe^3+^(PO_4_)"
"Roeblingite","Ca6Mn2+Pb2(Si3O9)2(SO4)2(OH)2·4H2O","Ca_6_Mn^2+^Pb_2_(Si_3_O_9_)_2_(SO_4_)_2_(OH)_2_·4H_2_O"
"Roedderite","KNaMg2(Mg3Si12)O30","KNaMg_2_(Mg_3_Si_12_)O_30_"
"Rogermitchellite","Na6Sr12Ba2Zr13Si39B6O123(OH)14·10H2O","Na_6_Sr_12_Ba_2_Zr_13_Si_39_B_6_O_123_(OH)_14_·10H_2_O"
"Roggianite","Ca2BeAl2Si4O13(OH)2·nH2O (n < 2.5)","Ca_2_BeAl_2_Si_4_O_13_(OH)_2_·nH_2_O (n < 2.5)"
"Rohaite","(Tl,Pb,K)2Cu8.7Sb2S4","(Tl,Pb,K)_2_Cu_8.7_Sb_2_S_4_"
"Rokühnite","FeCl2·2H2O","FeCl_2_·2H_2_O"
"Rollandite","Cu3(AsO4)2·4H2O","Cu_3_(AsO_4_)_2_·4H_2_O"
"Romanèchite","(Ba,H2O)2(Mn4+,Mn3+)5O10","(Ba,H_2_O)_2_(Mn^4+^,Mn^3+^)_5_O_10_"
"Romanorlovite","K11Cu9Cl25(OH)4·2H2O","K_11_Cu_9_Cl_25_(OH)_4_·2H_2_O"
"Romarchite","SnO","SnO"
"Römerite","Fe2+Fe3+2(SO4)4·14H2O","Fe^2+^Fe^3+^_2_(SO_4_)_4_·14H_2_O"
"Rondorfite","Ca8Mg(SiO4)4Cl2","Ca_8_Mg(SiO_4_)_4_Cl_2_"
"Rongibbsite","Pb2(Si4Al)O11(OH)","Pb_2_(Si_4_Al)O_11_(OH)"
"Ronneburgite","K2MnV4O12","K_2_MnV_4_O_12_"
"Ronpetersonite","BaWO4","BaWO_4_"
"Röntgenite-(Ce)","Ca2Ce3(CO3)5F3","Ca_2_Ce_3_(CO_3_)_5_F_3_"
"Rooseveltite","Bi(AsO4)","Bi(AsO_4_)"
"Roquesite","CuInS2","CuInS_2_"
"Rorisite","CaClF","CaClF"
"Rosasite","CuZn(CO3)(OH)2","CuZn(CO_3_)(OH)_2_"
"Roscherite","Ca2Mn2+5Be4(PO4)6(OH)4·6H2O","Ca_2_Mn^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O"
"Roscoelite","KV3+2(Si3Al)O10(OH)2","KV^3+^_2_(Si_3_Al)O_10_(OH)_2_"
"Roselite","Ca2Co(AsO4)2·2H2O","Ca_2_Co(AsO_4_)_2_·2H_2_O"
"Rosemaryite","[box]NaMn2+(Fe3+Al)(PO4)3","[box]NaMn^2+^(Fe^3+^Al)(PO_4_)_3_"
"Rosenbergite","AlF[F0.5(H2O)0.5]4·H2O","AlF[F_0.5_(H_2_O)_0.5_]_4_·H_2_O"
"Rosenbuschite","Ca6Zr2Na6ZrTi(Si2O7)4(OF)2F4","Ca_6_Zr_2_Na_6_ZrTi(Si_2_O_7_)_4_(OF)_2_F_4_"
"Rosenhahnite","Ca3Si3O8(OH)2","Ca_3_Si_3_O_8_(OH)_2_"
"Roshchinite","(Ag,Cu)19Pb10Sb51S96","(Ag,Cu)_19_Pb_10_Sb_51_S_96_"
"Rosiaite","PbSb2O6","PbSb_2_O_6_"
"Rosickýite","S","S"
"Rosièresite","[Pb,Cu,Al,PO4,H2O] (?)","[Pb,Cu,Al,PO_4_,H_2_O] (?)"
"Rossiantonite","Al3(PO4)(SO4)2(OH)2(H2O)10·4H2O","Al_3_(PO_4_)(SO_4_)_2_(OH)_2_(H_2_O)_10_·4H_2_O"
"Rossite","Ca(VO3)2·4H2O","Ca(VO_3_)_2_·4H_2_O"
"Rösslerite","Mg(AsO3OH)·7H2O","Mg(AsO_3_OH)·7H_2_O"
"Rossmanite","[box](Al2Li)Al6(Si6O18)(BO3)3(OH)3(OH)","[box](Al_2_Li)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)"
"Rossovskyite","Fe3+NbO4","Fe^3+^NbO_4_"
"Rostite","Al(SO4)(OH)·5H2O","Al(SO_4_)(OH)·5H_2_O"
"Roterbärite","PdCuBiSe3","PdCuBiSe_3_"
"Rouaite","Cu2(NO3)(OH)3","Cu_2_(NO_3_)(OH)_3_"
"Roubaultite","Cu2O2(UO2)3(CO3)2(OH)2·4H2O","Cu_2_O_2_(UO_2_)_3_(CO_3_)_2_(OH)_2_·4H_2_O"
"Roumaite","(Nb,Ti)(Ca,Na,[box])3(Ca,REE)4(Si2O7)2(OH)F3","(Nb,Ti)(Ca,Na,[box])_3_(Ca,REE)_4_(Si_2_O_7_)_2_(OH)F_3_"
"Rouseite","Pb2Mn2+(AsO3)2·2H2O","Pb_2_Mn^2+^(AsO_3_)_2_·2H_2_O"
"Routhierite","TlCuHg2As2S6","TlCuHg_2_As_2_S_6_"
"Rouvilleite","Na3Ca2(CO3)3F","Na_3_Ca_2_(CO_3_)_3_F"
"Rouxelite","Cu2HgPb22Sb28S64(O,S)2","Cu_2_HgPb_22_Sb_28_S_64_(O,S)_2_"
"Roweite","Ca2Mn2+2B4O7(OH)6","Ca_2_Mn^2+^_2_B_4_O_7_(OH)_6_"
"Rowlandite-(Y)","Fe2+Y4(Si2O7)2F2","Fe^2+^Y_4_(Si_2_O_7_)_2_F_2_"
"Rowleyite","[Na(NH4,K)9Cl4][V5+,4+2(P,As)O8]6·n[H2O,Na,NH4,K,Cl]","[Na(NH_4_,K)_9_Cl_4_][V^5+,4+^_2_(P,As)O_8_]_6_·n[H_2_O,Na,NH_4_,K,Cl]"
"Roxbyite","Cu9S5","Cu_9_S_5_"
"Roymillerite","Pb24Mg9(Si10O28)(CO3)10(BO3)(SiO4)(OH)13O5","Pb_24_Mg_9_(Si_10_O_28_)(CO_3_)_10_(BO_3_)(SiO_4_)(OH)_13_O_5_"
"Rozenite","Fe2+(SO4)·4H2O","Fe^2+^(SO_4_)·4H_2_O"
"Rozhdestvenskayaite-(Zn)","Ag6(Ag4Zn2)Sb4S13","Ag_6_(Ag_4_Zn_2_)Sb_4_S_13_"
"Rruffite","Ca2Cu(AsO4)2·2H2O","Ca_2_Cu(AsO_4_)_2_·2H_2_O"
"Ruarsite","RuAsS","RuAsS"
"Rubicline","Rb(AlSi3O8)","Rb(AlSi_3_O_8_)"
"Rubinite","Ca3Ti3+2Si3O12","Ca_3_Ti^3+^_2_Si_3_O_12_"
"Rucklidgeite","PbBi2Te4","PbBi_2_Te_4_"
"Rudabányaite","(Ag2Hg2)(AsO4)Cl","(Ag_2_Hg_2_)(AsO_4_)Cl"
"Rudashevskyite","(Fe,Zn)S","(Fe,Zn)S"
"Rudenkoite","Sr3Al3.5Si3.5O10(OH,O)8Cl2·H2O","Sr_3_Al_3.5_Si_3.5_O_10_(OH,O)_8_Cl_2_·H_2_O"
"Rüdlingerite","Mn2+2V5+As5+O7·2H2O","Mn^2+^_2_V^5+^As^5+^O_7_·2H_2_O"
"Rudolfhermannite","Fe3+2(Te4+O3)3·H2O","Fe^3+^_2_(Te^4+^O_3_)_3_·H_2_O"
"Ruifrancoite","Ca2([box],Mn)2(Fe3+,Mn,Mg)4Be4(PO4)6(OH)6·4H2O","Ca_2_([box],Mn)_2_(Fe^3+^,Mn,Mg)_4_Be_4_(PO_4_)_6_(OH)_6_·4H_2_O"
"Ruitenbergite","Ca9B26O34(OH)24Cl4·13H2O","Ca_9_B_26_O_34_(OH)_24_Cl_4_·13H_2_O"
"Ruizhongite","(Ag2[box])Pb3Ge2S8","(Ag_2_[box])Pb_3_Ge_2_S_8_"
"Ruizite","Ca2Mn3+2Si4O11(OH)4·2H2O","Ca_2_Mn^3+^_2_Si_4_O_11_(OH)_4_·2H_2_O"
"Rumoiite","AuSn2","AuSn_2_"
"Rumseyite","[Pb2OF]Cl","[Pb_2_OF]Cl"
"Rusakovite","(Fe,Al)5(VO4)2(OH)9·3H2O","(Fe,Al)_5_(VO_4_)_2_(OH)_9_·3H_2_O"
"Rusinovite","Ca10(Si2O7)3Cl2","Ca_10_(Si_2_O_7_)_3_Cl_2_"
"Russellite","Bi2WO6","Bi_2_WO_6_"
"Russoite","(NH4)ClAs2O3(H2O)0.5","(NH_4_)ClAs_2_O_3_(H_2_O)_0.5_"
"Rustenburgite","Pt3Sn","Pt_3_Sn"
"Rustumite","Ca10(Si2O7)2(SiO4)(OH)2Cl2","Ca_10_(Si_2_O_7_)_2_(SiO_4_)(OH)_2_Cl_2_"
"Ruthenarsenite","(Ru,Ni)As","(Ru,Ni)As"
"Rutheniridosmine","(Ir,Os,Ru)","(Ir,Os,Ru)"
"Ruthenium","Ru","Ru"
"Rutherfordine","(UO2)(CO3)","(UO_2_)(CO_3_)"
"Rutile","TiO2","TiO_2_"
"Ryabchikovite","CuMgSi2O6","CuMgSi_2_O_6_"
"Rynersonite","CaTa2O6","CaTa_2_O_6_"
"Saamite","Ba[box]TiNbNa3Ti(Si2O7)2O2(OH)2(H2O)2","Ba[box]TiNbNa_3_Ti(Si_2_O_7_)_2_O_2_(OH)_2_(H_2_O)_2_"
"Sabatierite","Cu6TlSe4","Cu_6_TlSe_4_"
"Sabelliite","Cu2Zn(AsO4)(OH)3","Cu_2_Zn(AsO_4_)(OH)_3_"
"Sabieite","(NH4)Fe3+(SO4)2","(NH_4_)Fe^3+^(SO_4_)_2_"
"Sabinaite","Na4TiZr2O4(CO3)4","Na_4_TiZr_2_O_4_(CO_3_)_4_"
"Sabugalite","HAl(UO2)4(PO4)4·16H2O","HAl(UO_2_)_4_(PO_4_)_4_·16H_2_O"
"Saccoite","Ca2Mn3+2F(OH)8·0.5(SO4)","Ca_2_Mn^3+^_2_F(OH)_8_·0.5(SO_4_)"
"Sacrofanite","(Na61K19Ca32)Σ=112(Si84Al84O336)(SO4)26Cl2F6·2H2O","(Na_61_K_19_Ca_32_)_Σ=112_(Si_84_Al_84_O_336_)(SO_4_)_26_Cl_2_F_6_·2H_2_O"
"Sadanagaite","NaCa2(Mg3Al2)(Si5Al3)O22(OH)2","NaCa_2_(Mg_3_Al_2_)(Si_5_Al_3_)O_22_(OH)_2_"
"Saddlebackite","Pb2Bi2Te2S3","Pb_2_Bi_2_Te_2_S_3_"
"Safflorite","CoAs2","CoAs_2_"
"Sahamalite-(Ce)","Ce2Mg(CO3)4","Ce_2_Mg(CO_3_)_4_"
"Sahlinite","Pb14O9(AsO4)2Cl4","Pb_14_O_9_(AsO_4_)_2_Cl_4_"
"Sailaufite","(Ca,Na,[box])2Mn3+3O2(AsO4)2(CO3)·3H2O","(Ca,Na,[box])_2_Mn^3+^_3_O_2_(AsO_4_)_2_(CO_3_)·3H_2_O"
"Sainfeldite","Ca5(AsO4)2(AsO3OH)2·4H2O","Ca_5_(AsO_4_)_2_(AsO_3_OH)_2_·4H_2_O"
"Sakhaite","Ca48Mg16(BO3)32(CO3)16·2(H2O,HCl)","Ca_48_Mg_16_(BO_3_)_32_(CO_3_)_16_·2(H_2_O,HCl)"
"Sakuraiite","(Cu,Zn,Fe)3(In,Sn)S4","(Cu,Zn,Fe)_3_(In,Sn)S_4_"
"Salammoniac","(NH4)Cl","(NH_4_)Cl"
"Saléeite","Mg(UO2)2(PO4)2(H2O)10","Mg(UO_2_)_2_(PO_4_)_2_(H_2_O)_10_"
"Salesite","Cu(IO3)(OH)","Cu(IO_3_)(OH)"
"Saliotite","(Li,Na)Al3(Si3Al)O10(OH)5","(Li,Na)Al_3_(Si_3_Al)O_10_(OH)_5_"
"Saltonseaite","K3NaMnCl6","K_3_NaMnCl_6_"
"Salzburgite","Cu1.6Pb1.6Bi6.4S12","Cu_1.6_Pb_1.6_Bi_6.4_S_12_"
"Samaniite","Cu2Fe5Ni2S8","Cu_2_Fe_5_Ni_2_S_8_"
"Samarskite-(Y)","YFe3+Nb2O8","YFe^3+^Nb_2_O_8_"
"Samarskite-(Yb)","YbNbO4","YbNbO_4_"
"Samfowlerite","Ca14Mn2+3Zn2Be2Be6Si14O52(OH)6","Ca_14_Mn^2+^_3_Zn_2_Be_2_Be_6_Si_14_O_52_(OH)_6_"
"Sampleite","NaCaCu5(PO4)4Cl·5H2O","NaCaCu_5_(PO_4_)_4_Cl·5H_2_O"
"Samraite","Ni2P2O7","Ni_2_P_2_O_7_"
"Samsonite","Ag4MnSb2S6","Ag_4_MnSb_2_S_6_"
"Samuelsonite","Ca9Mn2+4Al2(PO4)10(OH)2","Ca_9_Mn^2+^_4_Al_2_(PO_4_)_10_(OH)_2_"
"Sanbornite","BaSi2O5","BaSi_2_O_5_"
"Sanderite","Mg(SO4)·2H2O","Mg(SO_4_)·2H_2_O"
"Saneroite","NaMn2+5[Si5O14(OH)](VO3)(OH)","NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH)"
"Sangenaroite","Ag8(Sb8-xAsx)S16 (0 < x < 2)","Ag_8_(Sb_8-x_As_x_)S_16_ (0 < x < 2)"
"Sanguite","KCuCl3","KCuCl_3_"
"Sanidine","K(AlSi3O8)","K(AlSi_3_O_8_)"
"Sanjuanite","Al2(PO4)(SO4)(OH)·9H2O","Al_2_(PO_4_)(SO_4_)(OH)·9H_2_O"
"Sanmartinite","Zn(WO4)","Zn(WO_4_)"
"Sanrománite","Na2CaPb3(CO3)5","Na_2_CaPb_3_(CO_3_)_5_"
"Santabarbaraite","Fe3+3(PO4)2(OH)3·5H2O","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O"
"Santaclaraite","CaMn2+4Si5O14(OH)2·H2O","CaMn^2+^_4_Si_5_O_14_(OH)_2_·H_2_O"
"Santafeite","(Ca,Sr,Na)3(Mn2+,Fe3+)2Mn4+2(VO4)4(OH,O)5·2H2O","(Ca,Sr,Na)_3_(Mn^2+^,Fe^3+^)_2_Mn^4+^_2_(VO_4_)_4_(OH,O)_5_·2H_2_O"
"Santanaite","Pb11CrO16","Pb_11_CrO_16_"
"Santarosaite","CuB2O4","CuB_2_O_4_"
"Santite","KB5O6(OH)4·2H2O","KB_5_O_6_(OH)_4_·2H_2_O"
