"Mineral Name","IMA Chemistry (plain)","IMA Chemistry (concise)"
"Marinaite","Cu2Fe3+O2(BO3)","Cu_2_Fe^3+^O_2_(BO_3_)"
"Marinellite","Na42Ca6Al36Si36O144(SO4)8Cl2·6H2O","Na_42_Ca_6_Al_36_Si_36_O_144_(SO_4_)_8_Cl_2_·6H_2_O"
"Markascherite","Cu3(MoO4)(OH)4","Cu_3_(MoO_4_)(OH)_4_"
"Markcooperite","Pb2(UO2)TeO6","Pb_2_(UO_2_)TeO_6_"
"Markeyite","Ca9(UO2)4(CO3)13·28H2O","Ca_9_(UO_2_)_4_(CO_3_)_13_·28H_2_O"
"Markhininite","TlBi(SO4)2","TlBi(SO_4_)_2_"
"Marklite","Cu5(CO3)2(OH)6·6H2O","Cu_5_(CO_3_)_2_(OH)_6_·6H_2_O"
"Marokite","CaMn3+2O4","CaMn^3+^_2_O_4_"
"Marrite","AgPbAsS3","AgPbAsS_3_"
"Marrucciite","Hg3Pb16Sb18S46","Hg_3_Pb_16_Sb_18_S_46_"
"Marshite","CuI","CuI"
"Marsturite","NaCaMn2+3Si5O14(OH)","NaCaMn^2+^_3_Si_5_O_14_(OH)"
"Marthozite","Cu2+(UO2)3(Se4+O3)2O2·8H2O","Cu^2+^(UO_2_)_3_(Se^4+^O_3_)_2_O_2_·8H_2_O"
"Martinandresite","Ba2(Al4Si12O32)·10H2O","Ba_2_(Al_4_Si_12_O_32_)·10H_2_O"
"Martinite","(Na,[box],Ca)12Ca4(Si,S,B)14B2O38(OH,Cl)2F2·4H2O","(Na,[box],Ca)_12_Ca_4_(Si,S,B)_14_B_2_O_38_(OH,Cl)_2_F_2_·4H_2_O"
"Martyite","Zn3V2O7(OH)2·2H2O","Zn_3_V_2_O_7_(OH)_2_·2H_2_O"
"Marumoite","Pb32As40S92","Pb_32_As_40_S_92_"
"Maruyamaite","K(MgAl2)(Al5Mg)(BO3)3(Si6O18)(OH)3O","K(MgAl_2_)(Al_5_Mg)(BO_3_)_3_(Si_6_O_18_)(OH)_3_O"
"Masaitisite","KCu5O2(SeO3)2Cl3","KCu_5_O_2_(SeO_3_)_2_Cl_3_"
"Mascagnite","(NH4)2(SO4)","(NH_4_)_2_(SO_4_)"
"Maslovite","PtBiTe","PtBiTe"
"Massicot","PbO","PbO"
"Masutomilite","KLiAlMn2+(Si3Al)O10(F,OH)2","KLiAlMn^2+^(Si_3_Al)O_10_(F,OH)_2_"
"Masuyite","Pb(UO2)3O3(OH)2·3H2O","Pb(UO_2_)_3_O_3_(OH)_2_·3H_2_O"
"Mathesiusite","K5(UO2)4(SO4)4(VO5)(H2O)4","K_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)(H_2_O)_4_"
"Mathewrogersite","Pb7FeAl3GeSi12O36(OH,H2O)6","Pb_7_FeAl_3_GeSi_12_O_36_(OH,H_2_O)_6_"
"Mathiasite","(K,Ba,Sr)(Zr,Fe)(Mg,Fe)2(Ti,Cr,Fe)18O38","(K,Ba,Sr)(Zr,Fe)(Mg,Fe)_2_(Ti,Cr,Fe)_18_O_38_"
"Matildite","AgBiS2","AgBiS_2_"
"Matioliite","NaMgAl5(PO4)4(OH)6·2H2O","NaMgAl_5_(PO_4_)_4_(OH)_6_·2H_2_O"
"Matlockite","PbClF","PbClF"
"Matsubaraite","Sr4Ti5O8(Si2O7)2","Sr_4_Ti_5_O_8_(Si_2_O_7_)_2_"
"Mattagamite","CoTe2","CoTe_2_"
"Matteuccite","NaH(SO4)·H2O","NaH(SO_4_)·H_2_O"
"Mattheddleite","Pb5(SiO4)1.5(SO4)1.5Cl","Pb_5_(SiO_4_)_1.5_(SO_4_)_1.5_Cl"
"Matthiasweilite","PbTe4+O3","PbTe^4+^O_3_"
"Matulaite","Fe3+Al7(PO4)4(PO3OH)2(OH)8(H2O)8·8H2O","Fe^3+^Al_7_(PO_4_)_4_(PO_3_OH)_2_(OH)_8_(H_2_O)_8_·8H_2_O"
"Matyhite","Ca9(Ca0.5[box]0.5)Fe2+(PO4)7","Ca_9_(Ca_0.5_[box]_0.5_)Fe^2+^(PO_4_)_7_"
"Maucherite","Ni11As8","Ni_11_As_8_"
"Mauriziodiniite","(NH4)(As2O3)2I","(NH_4_)(As_2_O_3_)_2_I"
"Maurogemmiite","Ti10Fe3O3","Ti_10_Fe_3_O_3_"
"Mavlyanovite","Mn5Si3","Mn_5_Si_3_"
"Mawbyite","PbFe3+2(AsO4)2(OH)2","PbFe^3+^_2_(AsO_4_)_2_(OH)_2_"
"Mawsonite","Cu6Fe2SnS8","Cu_6_Fe_2_SnS_8_"
"Maxwellite","NaFe3+(AsO4)F","NaFe^3+^(AsO_4_)F"
"Mayingite","IrBiTe","IrBiTe"
"Mazorite","Ba3(PO4)2","Ba_3_(PO_4_)_2_"
"Mazzettiite","Ag3HgPbSbTe5","Ag_3_HgPbSbTe_5_"
"Mazzite-Mg","Mg5(Si26Al10)O72·30H2O","Mg_5_(Si_26_Al_10_)O_72_·30H_2_O"
"Mazzite-Na","Na8(Si28Al8)O72·30H2O","Na_8_(Si_28_Al_8_)O_72_·30H_2_O"
"Mbobomkulite","(Ni,Cu)Al4(NO3,SO4)2(OH)12·3H2O","(Ni,Cu)Al_4_(NO_3_,SO_4_)_2_(OH)_12_·3H_2_O"
"Mcallisterite","Mg2[B6O7(OH)6]2·9H2O","Mg_2_[B_6_O_7_(OH)_6_]_2_·9H_2_O"
"Mcalpineite","Cu3Te6+O6","Cu_3_Te^6+^O_6_"
"Mcauslanite","Fe2+3Al2(PO4)3(PO3OH)F·18H2O","Fe^2+^_3_Al_2_(PO_4_)_3_(PO_3_OH)F·18H_2_O"
"Mcbirneyite","Cu3(VO4)2","Cu_3_(VO_4_)_2_"
"Mcconnellite","Cu1+CrO2","Cu^1+^CrO_2_"
"Mccrillisite","NaCs(Be,Li)Zr2(PO4)4·1-2H2O","NaCs(Be,Li)Zr_2_(PO_4_)_4_·1-2H_2_O"
"Mcgillite","Mn2+8Si6O15(OH)8Cl2","Mn^2+^_8_Si_6_O_15_(OH)_8_Cl_2_"
"Mcgovernite","Zn3(Mn2+,Mg,Fe3+,Al)42(As3+O3)2(As5+O4)4[(Si,As5+)O4]8(OH)42","Zn_3_(Mn^2+^,Mg,Fe^3+^,Al)_42_(As^3+^O_3_)_2_(As^5+^O_4_)_4_[(Si,As^5+^)O_4_]_8_(OH)_42_"
"Mcguinnessite","CuMg(CO3)(OH)2","CuMg(CO_3_)(OH)_2_"
"Mckelveyite-(Nd)","NaCaBa3Nd(CO3)6·3H2O","NaCaBa_3_Nd(CO_3_)_6_·3H_2_O"
"Mckelveyite-(Y)","NaBa3CaY(CO3)6·3H2O","NaBa_3_CaY(CO_3_)_6_·3H_2_O"
"Mckinstryite","Ag5Cu3S4","Ag_5_Cu_3_S_4_"
"Mcnearite","NaCa5(AsO4)(AsO3OH)4·4H2O","NaCa_5_(AsO_4_)(AsO_3_OH)_4_·4H_2_O"
"Medaite","Mn2+6V5+Si5O18(OH)","Mn^2+^_6_V^5+^Si_5_O_18_(OH)"
"Medenbachite","Bi2Fe3+Cu2+(AsO4)2O(OH)3","Bi_2_Fe^3+^Cu^2+^(AsO_4_)_2_O(OH)_3_"
"Medvedevite","KMn2+V2O6Cl·2H2O","KMn^2+^V_2_O_6_Cl·2H_2_O"
"Meerschautite","(Ag,Cu)5.5Pb42.4(Sb,As)45.1S112O0.8","(Ag,Cu)_5.5_Pb_42.4_(Sb,As)_45.1_S_112_O_0.8_"
"Megacyclite","KNa8Si9O18(OH)9·19H2O","KNa_8_Si_9_O_18_(OH)_9_·19H_2_O"
"Megakalsilite","KAlSiO4","KAlSiO_4_"
"Megawite","CaSnO3","CaSnO_3_"
"Meieranite","Na2Sr3MgSi6O17","Na_2_Sr_3_MgSi_6_O_17_"
"Meierite","Ba44Si66Al30O192Cl25(OH)33","Ba_44_Si_66_Al_30_O_192_Cl_25_(OH)_33_"
"Meifuite","KFe6(Si7Al)O19(OH)4Cl2","KFe_6_(Si_7_Al)O_19_(OH)_4_Cl_2_"
"Meionite","Ca4Al6Si6O24(CO3)","Ca_4_Al_6_Si_6_O_24_(CO_3_)"
"Meisserite","Na5(UO2)(SO4)3(SO3OH)(H2O)","Na_5_(UO_2_)(SO_4_)_3_(SO_3_OH)(H_2_O)"
"Meitnerite","(NH4)(UO2)(SO4)(OH)·2H2O","(NH_4_)(UO_2_)(SO_4_)(OH)·2H_2_O"
"Meixnerite","Mg6Al2(OH)16(OH)2·4H2O","Mg_6_Al_2_(OH)_16_(OH)_2_·4H_2_O"
"Mejillonesite","NaMg2(PO3OH)(PO4)(OH)·H5O2","NaMg_2_(PO_3_OH)(PO_4_)(OH)·H_5_O_2_"
"Melanarsite","K3Cu7Fe3+O4(AsO4)4","K_3_Cu_7_Fe^3+^O_4_(AsO_4_)_4_"
"Melanocerite-(Ce)","Ce5(SiO4,BO4)3(OH,O)","Ce_5_(SiO_4_,BO_4_)_3_(OH,O)"
"Melanophlogite","C2H17O5·Si46O92","C_2_H_17_O_5_·Si_46_O_92_"
"Melanostibite","Mn2Fe3+Sb5+O6","Mn_2_Fe^3+^Sb^5+^O_6_"
"Melanotekite","Pb2Fe3+2O2(Si2O7)","Pb_2_Fe^3+^_2_O_2_(Si_2_O_7_)"
"Melanothallite","Cu2OCl2","Cu_2_OCl_2_"
"Melanovanadite","Ca(V5+,V4+)4O10·5H2O","Ca(V^5+^,V^4+^)_4_O_10_·5H_2_O"
"Melansonite","Na[box]KZrSi8O19·5H2O","Na[box]KZrSi_8_O_19_·5H_2_O"
"Melanterite","Fe(SO4)·7H2O","Fe(SO_4_)·7H_2_O"
"Melcherite","Ba2Na2Mg[Nb6O19]·6H2O","Ba_2_Na_2_Mg[Nb_6_O_19_]·6H_2_O"
"Meliphanite","Ca4(Na,Ca)4Be4AlSi7O24(F,O)4","Ca_4_(Na,Ca)_4_Be_4_AlSi_7_O_24_(F,O)_4_"
"Melkovite","CaFe3+2Mo5O10(PO4)2(OH)12·8H2O","CaFe^3+^_2_Mo_5_O_10_(PO_4_)_2_(OH)_12_·8H_2_O"
"Melliniite","(Ni,Fe)4P","(Ni,Fe)_4_P"
"Mellite","Al2C6(COO)6·16H2O","Al_2_C_6_(COO)_6_·16H_2_O"
"Mellizinkalite","K3Zn2Cl7","K_3_Zn_2_Cl_7_"
"Melonite","NiTe2","NiTe_2_"
"Mélonjosephite","CaFe2+Fe3+(PO4)2(OH)","CaFe^2+^Fe^3+^(PO_4_)_2_(OH)"
"Menchettiite","Pb5Mn3Ag2Sb6As4S24","Pb_5_Mn_3_Ag_2_Sb_6_As_4_S_24_"
"Mendeleevite-(Ce)","Cs6(Ce,REE,Ca)30(Si70O175)(OH,F,H2O)35","Cs_6_(Ce,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_"
"Mendeleevite-(Nd)","Cs6(Nd,REE,Ca)30(Si70O175)(OH,F,H2O)35","Cs_6_(Nd,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_"
"Mendigite","Mn2Mn2MnCa(Si3O9)2","Mn_2_Mn_2_MnCa(Si_3_O_9_)_2_"
"Mendipite","Pb3O2Cl2","Pb_3_O_2_Cl_2_"
"Mendozavilite-KCa","[K2(H2O)15Ca(H2O)6][Mo8P2Fe3+3O34(OH)3]","[K_2_(H_2_O)_15_Ca(H_2_O)_6_][Mo_8_P_2_Fe^3+^_3_O_34_(OH)_3_]"
